"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 21 16:49:06 GMT 2021","Sat Aug 21 16:49:14 GMT 2021","8029","vizsgaremek","test_con_logout","","","","test_con_logout",""
"passed","Sat Aug 21 16:47:49 GMT 2021","Sat Aug 21 16:48:08 GMT 2021","18783","vizsgaremek","test_con_cookie","","","","test_con_cookie",""
"passed","Sat Aug 21 16:49:23 GMT 2021","Sat Aug 21 16:49:41 GMT 2021","17303","vizsgaremek","test_con_update_data","","","","test_con_update_data",""
"passed","Sat Aug 21 16:48:50 GMT 2021","Sat Aug 21 16:48:58 GMT 2021","8825","vizsgaremek","test_con_feed_list","","","","test_con_feed_list",""
"passed","Sat Aug 21 16:48:58 GMT 2021","Sat Aug 21 16:49:06 GMT 2021","7813","vizsgaremek","test_con_login","","","","test_con_login",""
"passed","Sat Aug 21 16:48:08 GMT 2021","Sat Aug 21 16:48:43 GMT 2021","35186","vizsgaremek","test_con_del_article","","","","test_con_del_article",""
"passed","Sat Aug 21 16:48:43 GMT 2021","Sat Aug 21 16:48:50 GMT 2021","6831","vizsgaremek","test_con_download_data","","","","test_con_download_data",""
"broken","Sat Aug 21 16:49:41 GMT 2021","Sat Aug 21 16:49:43 GMT 2021","2560","vizsgaremek","test_con_upload_data2","","","","test_con_upload_data2",""
"passed","Sat Aug 21 16:49:14 GMT 2021","Sat Aug 21 16:49:23 GMT 2021","8902","vizsgaremek","test_con_register","","","","test_con_register",""
"passed","Sat Aug 21 16:49:43 GMT 2021","Sat Aug 21 16:49:59 GMT 2021","16337","vizsgaremek","test_con_write_comment","","","","test_con_write_comment",""
